#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
 111	HD 12661      	5655	 4.25	 0.30	  0.16	-5.03	 3.6	 1.8	 3.0	 -46.8	278	 0.01	 0.01	 6	 0.30	02 04 34.3	+25 24 52	 7.43	 34.95	 0.05	 0.03	 1.10	 0.04	  0.78	  0.11	 1.07	 4.40	 0.03	 4.1	  1	Simbad
 112	HD 12846      	5700	 4.48	-0.23	  0.15	-5.05	 3.3	 0.7	 3.2	  -4.1	181	 0.01	 0.01	 7	-0.26	02 06 30.2	+24 20 02	 6.89	 22.77	-0.10	 0.02	 0.91	 0.03	  0.92	  0.12	 0.93	 4.49	 0.04	 4.8	  1	Simbad
 113	HD 13043      	5859	 4.19	 0.09	  0.16	-4.99	 4.4	 2.0	 3.9	 -39.2	275	 0.01	 0.01	 5	 0.09	02 07 34.3	-00 37 03	 6.88	 36.95	 0.30	 0.03	 1.38	 0.05	  1.07	  0.15	 1.14	 4.22	 0.03	 5.0	  1	Simbad
 116	HD 13357      	5739	 4.52	-0.03	  0.23	-4.74	 3.6	 1.1	 3.4	  24.1	252	 0.01	 0.01	 1	-0.02	02 10 52.1	+13 41 00	 7.63	 40.98	 0.10	 0.06	 1.14	 0.08	  1.57	  0.29	 1.00	 4.36	 0.06	 6.5	  1	Simbad
 122	HD 13579      	5134	 4.45	 0.28	  0.33	-4.70	 2.8	 1.8	 1.9	 -13.6	272	 0.01	 0.02	 1	 0.32	02 15 42.6	+67 40 20	 7.13	 18.58	-0.33	 0.03	 0.87	 0.04	  0.77	  0.11	 0.88	 4.51	 0.04	 7.9	  1	Simbad
 123	HD 13931      	5853	 4.28	 0.06	  0.16	-5.01	 4.1	 1.3	 3.8	  27.3	305	 0.01	 0.01	 2	 0.05	02 16 47.4	+43 46 23	 7.61	 44.23	 0.17	 0.03	 1.18	 0.05	  0.96	  0.14	 1.08	 4.33	 0.04	 4.9	  1	Simbad
 126	HD 14412      	5373	 4.62	-0.45	  0.20	-4.82	 1.8	 0.1	 2.3	   5.8	364	 0.01	 0.01	 5	-0.48	02 18 58.5	-25 56 44	 6.33	 12.67	-0.36	 0.02	 0.76	 0.02	  0.87	  0.12	 0.77	 4.57	 0.03	 9.0	  1	Simbad
 127	HD 15335      	5899	 4.04	-0.10	  0.15	-5.08	 5.8	 3.8	 4.1	  40.8	348	 0.01	 0.01	 1	-0.09	02 28 48.5	+29 55 54	 5.89	 31.41	 0.56	 0.02	 1.82	 0.05	  1.31	  0.18	 1.16	 3.98	 0.03	 5.7	  1	Simbad
 128	HD 16141      	5730	 4.10	 0.11	  0.15	-5.05	 4.2	 2.4	 3.3	 -50.2	305	 0.01	 0.01	 3	 0.13	02 35 19.9	-03 33 38	 6.83	 38.96	 0.38	 0.03	 1.57	 0.06	  1.13	  0.16	 1.12	 4.08	 0.03	 7.2	  1	Simbad
 130	HD 16287      	5024	 4.49	 0.14	  0.59	-4.45	 3.8	 3.2	 1.8	  14.5	275	 0.01	 0.02	 1	 0.21	02 36 41.8	-03 09 22	 8.10	 24.13	-0.47	 0.03	 0.77	 0.03	  0.66	  0.09	 0.84	 4.58	 0.03	 5.5	  1	Simbad
 132	HD 16275      	5780	 4.30	 0.29	  0.16	-4.99	 4.5	 2.6	 3.5	  -8.6	253	 0.01	 0.01	 1	 0.30	02 37 05.6	+12 54 07	 8.66	 71.12	 0.16	 0.07	 1.20	 0.10	  1.04	  0.22	 1.12	 4.38	 0.06	 3.1	  1	Simbad
 133	HD 16397      	5831	 4.49	-0.41	  0.18	-4.88	 3.4	 0.1	 3.7	-100.8	247	 0.01	 0.01	 1	-0.47	02 38 27.9	+30 49 00	 7.36	 34.28	 0.06	 0.03	 1.05	 0.04	  1.24	  0.18	 0.90	 4.36	 0.04	 9.1	  1	Simbad
 135	HD 16623      	5847	 4.51	-0.37	  0.16	-4.96	 3.5	 0.1	 3.8	  17.4	244	 0.01	 0.01	 1	-0.45	02 39 09.7	-26 19 07	 8.76	 65.10	 0.06	 0.06	 1.04	 0.08	  1.27	  0.24	 0.90	 4.40	 0.06	 8.1	  1	Simbad
 138	HD 16895      	6196	 4.19	 0.05	  0.14	-5.12	10.8	 8.0	 6.2	  24.3	273	 0.01	 0.01	 3	 0.08	02 44 12.0	+49 13 42	 4.10	 11.13	 0.36	 0.02	 1.31	 0.04	  0.96	  0.13	 1.22	 4.29	 0.03	 2.4	  1	Simbad
 139	HD 17190      	5177	 4.53	-0.08	  0.23	-4.82	 2.4	 1.0	 2.0	  12.8	264	 0.01	 0.01	 1	-0.07	02 46 15.2	+25 39 00	 7.89	 25.91	-0.35	 0.03	 0.83	 0.03	  0.85	  0.12	 0.82	 4.53	 0.03	10.4	  1	Simbad
 142	HD 18143      	5100	 4.43	 0.24	  0.17	-5.08	 2.7	 1.7	 1.9	  31.8	298	 0.01	 0.02	 6	 0.26	02 55 39.1	+26 52 24	 7.52	 23.49	-0.27	 0.03	 0.93	 0.03	  0.84	  0.12	 0.86	 4.46	 0.03	12.8	  1	Simbad
 144	HD 18445      	4837	 4.44	-0.09	  0.37	-4.70	 3.2	 2.6	 1.7	  49.6	276	 0.01	 0.02	 1	-0.05	02 57 13.2	-24 58 30	     	      	     	     	     	     	      	      	     	     	     	    	  1	Simbad
 146	HD 18632      	5051	 4.48	 0.19	  0.71	-4.34	 3.9	 3.3	 1.9	  27.6	274	 0.01	 0.02	 1	 0.26	03 00 02.8	+07 45 00	 7.97	 24.39	-0.41	 0.03	 0.81	 0.03	  0.72	  0.10	 0.85	 4.55	 0.04	 7.0	  1	Simbad
 148	HD 18803      	5648	 4.45	 0.08	  0.18	-4.91	 3.0	 0.1	 3.0	   8.7	372	 0.01	 0.01	 5	 0.09	03 02 26.0	+26 36 33	 6.62	 20.64	-0.08	 0.02	 0.95	 0.03	  0.92	  0.12	 1.02	 4.49	 0.03	 2.6	  1	Simbad
 149	HD 19034      	5536	 4.57	-0.38	  0.18	-4.90	 2.6	 0.1	 2.7	 -15.3	250	 0.01	 0.01	 1	-0.49	03 03 39.0	-05 39 59	 8.08	 35.04	-0.19	 0.04	 0.87	 0.04	  1.03	  0.15	 0.84	 4.49	 0.05	 9.5	  1	Simbad
 150	HD 19467      	5747	 4.36	-0.09	  0.16	-4.98	 3.8	 1.4	 3.4	   4.6	355	 0.01	 0.01	 1	-0.14	03 07 18.6	-13 45 42	 7.00	 30.86	 0.11	 0.03	 1.15	 0.04	  1.09	  0.15	 0.98	 4.33	 0.03	 8.0	  1	Simbad
 151	HD 19308      	5795	 4.30	 0.13	  0.16	-5.03	 4.2	 1.9	 3.6	  32.3	253	 0.01	 0.01	 2	 0.13	03 07 39.4	+36 37 03	 7.36	 41.95	 0.23	 0.03	 1.29	 0.05	  1.18	  0.17	 1.11	 4.26	 0.03	 5.6	  1	Simbad
 153	HD 19373      	5938	 4.18	 0.13	  0.15	-5.04	 5.6	 3.4	 4.3	  49.9	268	 0.01	 0.01	 3	 0.14	03 09 04.0	+49 36 48	 4.05	 10.54	 0.34	 0.02	 1.40	 0.04	  1.07	  0.14	 1.18	 4.21	 0.03	 4.5	  1	Simbad
 155	HD 19994      	6080	 4.08	 0.24	  0.14	-5.11	10.6	 8.3	 5.2	  19.2	254	 0.01	 0.01	 2	 0.27	03 12 46.4	-01 11 46	 5.07	 22.58	 0.58	 0.02	 1.76	 0.05	  1.37	  0.18	 1.35	 4.07	 0.03	 3.0	  1	Simbad
 157	HD 20165      	5098	 4.51	 0.00	  0.19	-4.94	 2.6	 1.6	 1.9	 -17.3	325	 0.01	 0.01	 2	 0.01	03 14 47.2	+08 58 51	 7.83	 22.65	-0.43	 0.03	 0.78	 0.03	  0.73	  0.10	 0.82	 4.57	 0.03	 7.5	  1	Simbad
 160	HD 20619      	5732	 4.56	-0.20	  0.20	-4.82	 3.6	 1.1	 3.3	  22.3	308	 0.01	 0.01	 2	-0.21	03 19 01.9	-02 50 35	 7.05	 25.22	-0.08	 0.03	 0.92	 0.03	  1.12	  0.15	 0.95	 4.48	 0.04	 4.3	  1	Simbad
 164	HD 20675      	6374	 3.97	 0.15	  0.17	-4.89	21.7	16.8	 9.5	  21.9	236	 0.01	 0.02	 1	 0.22	03 21 52.5	+49 04 15	 5.94	 43.71	 0.80	 0.03	 2.06	 0.07	  1.45	  0.20	 1.55	 3.99	 0.02	 1.9	  1	Simbad
 165	HD 21019      	5485	 3.95	-0.40	  0.14	-5.15	 3.6	 0.1	 3.8	  40.6	260	 0.01	 0.01	 2	-0.40	03 23 17.7	-07 47 39	 6.20	 37.15	 0.61	 0.03	 2.24	 0.08	  1.64	  0.23	 1.09	 3.78	 0.02	 6.4	  1	Simbad
 167	HD 21313      	5973	 4.25	 0.23	  0.15	-5.05	 5.5	 3.0	 4.5	 -21.2	246	 0.01	 0.01	 1	 0.23	03 27 29.4	+34 48 24	 8.18	 75.30	 0.39	 0.07	 1.46	 0.12	  1.39	  0.28	 1.23	 4.21	 0.08	 3.3	  1	Simbad
 169	HD 21774      	5691	 4.25	 0.20	  0.14	-5.14	 4.0	 2.3	 3.2	  -4.0	254	 0.01	 0.01	 1	 0.21	03 31 15.4	+20 46 05	 8.08	 51.63	 0.12	 0.05	 1.18	 0.07	  0.91	  0.15	 1.07	 4.33	 0.06	 5.4	  1	Simbad
 170	HD 21847      	6281	 4.28	 0.23	  0.22	-4.66	19.5	15.4	 7.0	  28.2	244	 0.01	 0.01	 1	 0.28	03 32 39.9	+35 39 33	 7.29	 49.53	 0.37	 0.04	 1.29	 0.06	  1.15	  0.17	 1.30	 4.33	 0.03	 0.9	  1	Simbad
 171	GJ 144        	5065	 4.55	-0.06	  0.43	-4.53	 3.0	 2.2	 1.9	  16.1	317	 0.01	 0.01	 4	-0.01	03 32 55.8	-09 27 30	     	      	     	     	     	     	      	      	     	     	     	    	  2	Simbad
 172	HD 22072      	4941	 3.46	-0.19	  0.14	-5.17	 3.4	 0.1	 3.4	   9.8	265	 0.01	 0.01	 1	-0.25	03 34 08.4	+17 49 58	 6.14	 40.39	 0.77	 0.03	 3.31	 0.11	  1.14	  0.16	 0.98	 3.39	 0.05	10.7	  1	Simbad
 173	HD 22282      	5416	 4.39	 0.11	  0.17	-4.99	 3.1	 1.8	 2.4	  -5.8	260	 0.01	 0.01	 1	 0.12	03 35 12.9	-00 44 20	 8.54	 50.00	-0.06	 0.05	 1.05	 0.06	  0.99	  0.16	 0.92	 4.38	 0.05	10.7	  1	Simbad
 180	HD 23249      	5037	 3.75	 0.15	  0.14	-5.19	 3.4	 0.1	 3.4	  -6.6	391	 0.01	 0.01	 2	 0.16	03 43 14.9	-09 45 48	 3.52	  9.04	 0.50	 0.02	 2.34	 0.07	  1.11	  0.15	 1.17	 3.76	 0.03	 6.7	  1	Simbad
 183	HD 23439      	5077	 4.69	-0.83	  0.18	-4.97	 0.6	 0.1	 1.9	  50.1	263	 0.01	 0.01	 7	-0.99	03 47 02.1	+41 25 38	 7.67	 21.91	-0.39	 0.05	 0.83	 0.05	  1.22	  0.21	 0.67	 4.65	 0.02	13.6	  1	Simbad
 184	HD 23596      	5982	 4.16	 0.27	  0.14	-5.14	 5.6	 3.0	 4.6	 -11.6	243	 0.01	 0.01	 2	 0.29	03 48 00.4	+40 31 50	 7.25	 50.43	 0.41	 0.03	 1.50	 0.06	  1.18	  0.17	 1.26	 4.18	 0.04	 3.3	  1	Simbad
 186	HD 24040      	5761	 4.19	 0.17	  0.15	-5.06	 4.4	 2.6	 3.4	  -8.8	366	 0.01	 0.01	 3	 0.17	03 50 23.0	+17 28 35	 7.50	 46.60	 0.26	 0.04	 1.36	 0.06	  1.04	  0.15	 1.12	 4.23	 0.03	 5.8	  1	Simbad
 187	HD 24213      	5983	 4.14	 0.11	  0.16	-5.00	 5.5	 2.9	 4.6	 -40.6	247	 0.01	 0.01	 1	 0.12	03 52 11.4	+25 09 47	 6.77	 38.74	 0.38	 0.03	 1.44	 0.05	  1.05	  0.14	 1.20	 4.19	 0.03	 4.2	  1	Simbad
 188	HD 24365      	5120	 3.51	-0.21	  0.18	-4.99	 3.4	 0.1	 3.5	  18.6	260	 0.01	 0.01	 1	-0.21	03 53 37.7	+28 08 53	 7.89	 99.30	 0.82	 0.09	 3.28	 0.33	  1.28	  0.30	 1.22	 3.51	 0.07	 4.7	  1	Simbad
 189	HD 24496      	5531	 4.50	-0.05	  0.19	-4.86	 2.4	 0.1	 2.7	  17.2	367	 0.01	 0.01	 5	-0.04	03 54 28.0	+16 36 58	 6.81	 20.43	-0.16	 0.02	 0.91	 0.03	  0.94	  0.13	 0.94	 4.49	 0.04	 4.9	  1	Simbad
 191	HD 24238      	4951	 4.54	-0.33	  0.17	-5.02	 2.0	 0.3	 1.8	  37.8	314	 0.01	 0.02	 1	-0.46	03 55 03.8	+61 10 00	 7.84	 21.01	-0.48	 0.03	 0.79	 0.03	  0.78	  0.11	 0.75	 4.59	 0.02	13.1	  1	Simbad
 193	HD 24892      	5340	 3.96	-0.26	  0.15	-5.08	 3.5	 0.1	 3.6	  43.0	363	 0.01	 0.01	 1	-0.31	03 56 28.7	-25 10 53	 6.88	 40.57	 0.43	 0.03	 1.91	 0.07	  1.22	  0.17	 0.99	 3.87	 0.03	 9.9	  1	Simbad
 199	HD 25680      	5848	 4.49	 0.06	  0.26	-4.59	 5.0	 3.1	 3.8	  22.6	215	 0.01	 0.01	 1	 0.09	04 05 20.3	+22 00 32	 5.90	 16.94	 0.02	 0.02	 1.00	 0.03	  1.11	  0.15	 1.07	 4.46	 0.02	 1.7	  1	Simbad
 201	HD 26151      	5324	 4.38	 0.24	  0.20	-4.90	 3.0	 1.9	 2.2	  -5.9	261	 0.01	 0.01	 2	 0.25	04 07 20.7	-27 25 32	 8.49	 44.62	-0.14	 0.04	 1.01	 0.05	  0.88	  0.14	 0.92	 4.41	 0.05	10.1	  1	Simbad
 207	HD 26965      	5092	 4.51	-0.20	  0.17	-5.01	 2.2	 0.5	 1.9	 -43.2	336	 0.01	 0.01	 6	-0.30	04 15 16.3	-07 39 10	 4.43	  4.98	-0.38	 0.02	 0.83	 0.02	  0.80	  0.11	 0.79	 4.53	 0.02	12.8	  1	Simbad
 213	HD 28005      	5747	 4.24	 0.29	  0.16	-5.01	 4.5	 2.9	 3.4	  34.9	304	 0.01	 0.01	 3	 0.28	04 27 24.7	+46 51 11	 6.72	 28.18	 0.14	 0.02	 1.18	 0.04	  0.88	  0.12	 1.11	 4.35	 0.03	 4.0	  1	Simbad
 219	HD 29461      	5828	 4.47	 0.19	  0.32	-4.48	 4.0	 1.3	 3.7	  41.5	252	 0.01	 0.01	 1	 0.22	04 38 57.3	+14 06 20	 7.96	 46.47	 0.07	 0.04	 1.06	 0.06	  1.20	  0.19	 1.11	 4.43	 0.03	 2.0	  1	Simbad
 220	HD 29528      	5442	 4.42	 0.11	  0.17	-5.02	 3.2	 1.9	 2.5	 -20.3	258	 0.01	 0.01	 1	 0.11	04 39 36.5	+13 07 23	 8.93	 57.90	-0.10	 0.05	 1.01	 0.06	  0.97	  0.16	 0.94	 4.42	 0.05	 8.6	  1	Simbad
 226	HD 30495      	5834	 4.53	 0.01	  0.26	-4.59	 4.9	 3.0	 3.8	  20.5	264	 0.01	 0.01	 1	 0.04	04 47 36.3	-16 56 04	 5.49	 13.28	-0.03	 0.02	 0.95	 0.03	  1.10	  0.15	 1.04	 4.48	 0.02	 1.6	  1	Simbad
 229	HD 30339      	5998	 4.26	 0.26	  0.19	-4.83	 5.7	 3.0	 4.7	   7.7	246	 0.01	 0.01	 1	 0.27	04 49 33.3	+53 21 57	 8.21	 64.14	 0.24	 0.06	 1.22	 0.09	  0.98	  0.18	 1.19	 4.37	 0.04	 1.9	  1	Simbad
 230	HD 30652      	6398	 4.27	 0.05	  0.17	-4.89	20.8	16.4	 8.5	  24.3	269	 0.01	 0.01	 2	 0.11	04 49 50.4	+06 57 41	 3.19	  8.07	 0.44	 0.02	 1.34	 0.04	  1.21	  0.16	 1.31	 4.30	 0.02	 1.2	  1	Simbad
 232	HD 30708      	5707	 4.26	 0.15	  0.15	-5.07	 3.6	 1.2	 3.2	 -57.2	261	 0.01	 0.01	 1	 0.15	04 51 29.4	+35 48 54	 6.78	 31.65	 0.22	 0.03	 1.31	 0.05	  1.13	  0.16	 1.10	 4.25	 0.03	 6.3	  1	Simbad
 233	HD 30649      	5862	 4.49	-0.40	  0.17	-4.90	 3.5	 0.1	 3.9	  34.5	174	 0.03	 0.02	 2	-0.46	04 51 43.6	+45 50 03	 6.94	 30.18	 0.12	 0.03	 1.11	 0.04	  1.37	  0.20	 0.92	 4.33	 0.03	 8.9	  1	Simbad
 236	HD 31253      	6026	 4.06	 0.18	  0.15	-5.05	 5.5	 2.4	 4.8	  11.7	302	 0.01	 0.01	 2	 0.20	04 54 43.7	+12 21 08	 7.13	 50.30	 0.46	 0.03	 1.55	 0.07	  1.01	  0.15	 1.26	 4.15	 0.04	 3.5	  1	Simbad
 238	HD 31560      	4702	 4.48	 0.05	  0.52	-4.69	 2.9	 2.3	 1.6	   5.8	217	 0.02	 0.02	 1	 0.12	04 55 41.9	-28 33 50	 8.13	 17.89	-0.67	 0.02	 0.69	 0.02	  0.53	  0.07	 0.75	 4.64	 0.02	 7.9	  1	Simbad
 239	HD 31412      	6097	 4.39	 0.10	  0.18	-4.84	 4.8	 0.1	 5.3	  41.4	296	 0.01	 0.01	 2	 0.11	04 55 55.9	+04 40 14	 7.02	 34.92	 0.19	 0.03	 1.11	 0.04	  1.09	  0.15	 1.17	 4.41	 0.02	 1.2	  1	Simbad
 241	HD 31966      	5715	 4.10	 0.09	  0.15	-5.07	 4.2	 2.4	 3.3	 -19.7	252	 0.01	 0.01	 1	 0.09	05 00 33.8	+14 23 02	 6.75	 37.76	 0.38	 0.03	 1.59	 0.07	  1.16	  0.17	 1.11	 4.06	 0.03	 7.5	  1	Simbad
 245	HD 32923      	5725	 4.13	-0.13	  0.15	-5.05	 3.9	 1.9	 3.3	  20.2	328	 0.01	 0.01	 2	-0.17	05 07 27.0	+18 38 42	 4.91	 15.43	 0.35	 0.02	 1.51	 0.04	  1.13	  0.15	 1.02	 4.08	 0.02	 9.1	  1	Simbad
 246	HD 33021      	5786	 4.21	-0.13	  0.14	-5.10	 4.0	 1.4	 3.5	 -23.8	243	 0.01	 0.01	 1	-0.17	05 07 38.3	+09 28 18	 6.15	 27.67	 0.35	 0.02	 1.50	 0.05	  1.33	  0.18	 1.03	 4.09	 0.02	 8.6	  1	Simbad
 247	HD 32963      	5738	 4.37	 0.07	  0.15	-5.06	 3.6	 1.1	 3.3	 -61.8	246	 0.01	 0.01	 2	 0.07	05 07 55.8	+26 19 41	 7.60	 36.39	 0.01	 0.03	 1.02	 0.04	  0.90	  0.13	 1.04	 4.44	 0.04	 3.5	  1	Simbad
 252	HD 33636      	5960	 4.49	-0.07	  0.17	-4.89	 4.7	 1.3	 4.4	   6.3	248	 0.01	 0.01	 2	-0.07	05 11 46.4	+04 24 13	 7.00	 28.37	 0.02	 0.03	 0.96	 0.04	  1.03	  0.15	 1.06	 4.47	 0.02	 1.4	  1	Simbad
 254	HD 34445      	5797	 4.15	 0.11	  0.17	-4.97	 4.4	 2.5	 3.6	 -77.7	268	 0.01	 0.01	 5	 0.12	05 17 41.0	+07 21 12	 7.31	 46.47	 0.33	 0.03	 1.46	 0.06	  1.10	  0.16	 1.14	 4.17	 0.04	 5.8	  1	Simbad
 255	HD 34721      	5962	 4.19	-0.04	  0.14	-5.08	 5.3	 2.7	 4.4	  40.9	257	 0.01	 0.01	 2	-0.04	05 18 50.5	-18 07 48	 5.96	 25.03	 0.33	 0.02	 1.37	 0.04	  1.06	  0.14	 1.14	 4.23	 0.02	 4.7	  1	Simbad
 256	HD 34411      	5873	 4.26	 0.11	  0.15	-5.09	 3.9	 0.1	 3.9	  66.2	323	 0.01	 0.01	 5	 0.10	05 19 08.5	+40 05 57	 4.69	 12.63	 0.25	 0.02	 1.28	 0.04	  1.08	  0.14	 1.12	 4.27	 0.03	 4.8	  1	Simbad
 257	HD 34745      	6070	 4.28	-0.04	  0.15	-5.05	 6.0	 2.9	 5.1	  33.6	244	 0.01	 0.01	 1	-0.03	05 19 49.0	+02 30 49	 7.00	 38.11	 0.27	 0.03	 1.24	 0.05	  1.06	  0.15	 1.13	 4.31	 0.04	 3.5	  1	Simbad
 258	HD 34575      	5551	 4.25	 0.24	  0.15	-5.06	 3.5	 2.0	 2.7	 -25.1	259	 0.01	 0.01	 1	 0.25	05 22 19.8	+59 16 40	 7.09	 30.44	 0.07	 0.03	 1.17	 0.04	  0.88	  0.12	 1.02	 4.31	 0.03	 7.8	  1	Simbad
 259	HD 35627      	6007	 4.13	 0.04	  0.15	-5.08	 7.2	 5.0	 4.7	  25.5	243	 0.01	 0.01	 1	 0.06	05 25 53.2	-06 21 46	 7.49	 55.87	 0.41	 0.04	 1.48	 0.08	  1.07	  0.17	 1.19	 4.18	 0.04	 4.3	  1	Simbad
 262	HD 35974      	5878	 3.93	-0.13	  0.14	-5.14	 5.7	 2.8	 4.8	  74.4	244	 0.01	 0.01	 1	-0.12	05 27 06.7	-31 33 58	 7.18	 56.18	 0.55	 0.03	 1.82	 0.07	  1.02	  0.15	 1.14	 3.97	 0.03	 6.0	  1	Simbad
 266	HD 36308      	5354	 4.49	-0.03	  0.50	-4.38	 4.6	 3.8	 2.3	  24.7	260	 0.01	 0.01	 1	 0.02	05 31 23.5	+12 33 22	 8.40	 35.70	-0.29	 0.04	 0.83	 0.04	  0.76	  0.12	 0.89	 4.54	 0.04	 4.7	  1	Simbad
 268	HD 37213      	5446	 3.98	-0.39	  0.14	-5.11	 3.5	 0.1	 3.8	  11.1	252	 0.01	 0.01	 1	-0.40	05 35 41.1	-27 37 15	 8.22	 81.50	 0.49	 0.07	 1.97	 0.16	  1.35	  0.27	 0.98	 3.84	 0.05	 9.2	  1	Simbad
 270	HD 37124      	5604	 4.60	-0.35	  0.19	-4.85	 3.1	 0.3	 2.9	 -23.7	307	 0.01	 0.01	 2	-0.45	05 37 02.5	+20 43 51	 7.68	 33.67	-0.07	 0.03	 0.98	 0.04	  1.38	  0.19	 0.86	 4.40	 0.04	11.6	  1	Simbad
 272	HD 37008      	4979	 4.53	-0.31	  0.18	-4.98	 2.1	 0.5	 1.8	 -45.9	320	 0.01	 0.02	 2	-0.43	05 38 11.9	+51 26 45	 7.74	 20.16	-0.48	 0.02	 0.78	 0.03	  0.74	  0.10	 0.75	 4.58	 0.02	12.7	  1	Simbad
 275	HD 37962      	5739	 4.55	-0.20	  0.19	-4.84	 3.7	 1.2	 3.3	   2.1	247	 0.01	 0.01	 1	-0.21	05 40 52.0	-31 21 04	 7.84	 37.55	-0.05	 0.03	 0.95	 0.03	  1.17	  0.16	 0.95	 4.46	 0.04	 5.4	  1	Simbad
 276	HD 37394      	5249	 4.50	 0.09	  0.37	-4.56	 3.8	 3.0	 2.1	  -1.1	385	 0.01	 0.01	 1	 0.14	05 41 20.3	+53 28 52	 6.21	 12.28	-0.34	 0.02	 0.82	 0.02	  0.78	  0.10	 0.90	 4.55	 0.03	 4.1	  1	Simbad
 280	HD 37006      	5493	 4.54	-0.06	  0.50	-4.29	 5.3	 4.4	 2.6	  -7.4	258	 0.01	 0.01	 1	-0.02	05 46 11.9	+78 15 23	 8.20	 34.53	-0.26	 0.03	 0.82	 0.03	  0.85	  0.12	 0.92	 4.55	 0.02	 2.4	  1	Simbad
 282	HD 38529      	5541	 3.77	 0.32	  0.16	-5.03	 5.5	 3.7	 3.9	  30.2	267	 0.01	 0.01	 6	 0.35	05 46 34.9	+01 10 05	 5.95	 39.28	 0.74	 0.02	 2.56	 0.08	  1.41	  0.19	 1.41	 3.77	 0.02	 3.9	  1	Simbad
